team,rating,average_rank,average_rating,total_matches,home_matches,away_matches,neutral_matches,wins,losses,draws,goals_for,goals_against
Brazil,2195,4,1999,1028,364,331,333,656,161,211,2233,912
Argentina,2118,5,1984,1064,368,405,291,575,226,263,2006,1109
Netherlands,2047,15,1844,856,405,346,105,440,230,186,1779,1091
Portugal,2044,19,1789,653,304,246,103,319,182,152,1117,744
Spain,2007,7,1941,740,324,290,126,432,136,172,1487,665
France,1993,16,1784,893,455,330,108,443,263,187,1595,1242
Italy,1974,8,1915,862,388,313,161,458,168,236,1502,845
England,1969,4,1979,1113,491,506,116,648,209,256,2598,1092
Germany,1956,8,1910,1006,444,403,159,582,214,210,2265,1184
Belgium,1948,23,1751,837,401,358,78,370,295,172,1516,1325
Croatia,1945,13,1876,359,143,153,63,188,75,96,622,362
Colombia,1919,50,1605,608,173,216,219,241,200,167,768,711
Switzerland,1901,27,1684,853,408,376,69,302,365,186,1258,1429
Uruguay,1890,12,1878,973,321,413,239,428,310,235,1544,1204
Denmark,1883,20,1798,867,393,383,91,401,290,176,1591,1180
Morocco,1871,44,1653,673,289,210,174,323,158,192,994,588
Serbia,1862,20,1785,824,288,405,131,388,253,183,1571,1130
Peru,1851,34,1676,676,256,239,181,223,288,165,841,952
Ecuador,1842,65,1510,561,174,196,191,167,248,146,680,880
Japan,1841,62,1453,787,311,190,286,376,249,162,1382,945
United States,1840,41,1639,768,437,247,84,339,267,162,1141,1007
Poland,1827,29,1711,881,376,394,111,382,282,217,1501,1186
Hungary,1825,20,1836,1000,448,480,72,474,314,212,2039,1481
Ukraine,1822,33,1734,298,131,125,42,134,79,85,413,300
Mexico,1813,20,1778,970,287,262,421,502,246,222,1736,1001
Czechia,1779,13,1858,845,343,403,99,406,254,185,1556,1055
Australia,1779,34,1671,592,249,214,129,304,164,124,1209,661
Iran,1779,40,1654,634,214,179,241,356,129,149,1187,497
Senegal,1773,56,1588,643,203,238,202,282,180,181,862,621
Sweden,1758,16,1797,1085,471,487,127,532,322,231,2159,1428
Norway,1754,38,1616,852,405,396,51,313,348,191,1284,1408
Russia,1753,23,1742,751,282,352,117,388,168,195,1317,742
Scotland,1752,14,1879,831,386,399,46,396,253,182,1433,1017
Austria,1752,20,1809,826,412,367,47,347,304,175,1474,1286
South Korea,1750,35,1687,1006,333,240,433,550,211,245,1825,916
Tunisia,1747,52,1603,712,312,233,167,300,216,196,1009,781
Costa Rica,1737,35,1693,741,246,266,229,338,226,177,1282,849
Paraguay,1726,23,1756,757,204,349,204,266,291,200,974,1082
Wales,1717,22,1667,701,327,343,31,223,324,154,867,1137
Turkey,1712,42,1610,623,274,278,71,241,234,148,865,896
Canada,1712,47,1599,440,136,188,116,169,172,99,560,567
Algeria,1707,51,1630,633,238,223,172,280,186,167,948,653
Chile,1697,28,1677,817,312,294,211,306,331,180,1150,1172
Greece,1690,49,1552,613,276,278,59,229,234,150,758,850
Finland,1689,62,1497,789,323,411,55,205,420,164,929,1640
Venezuela,1684,85,1417,443,167,167,109,115,232,96,480,829
Ireland,1676,23,1627,705,358,289,58,248,271,186,935,1113
Ivory Coast,1670,44,1647,628,209,220,199,315,152,161,1013,635
Slovenia,1667,55,1615,278,125,127,26,98,109,71,343,333
Egypt,1662,35,1669,813,331,263,219,413,206,194,1417,855
Georgia,1652,71,1547,280,118,136,26,91,129,60,341,384
Panama,1646,100,1349,544,190,209,145,172,238,134,661,849
Saudi Arabia,1643,76,1496,757,299,135,323,365,217,175,1190,809
Nigeria,1631,40,1666,663,225,253,185,303,172,188,988,679
Cameroon,1621,52,1605,618,174,236,208,269,162,187,895,677
Mali,1620,69,1528,569,179,217,173,228,192,149,748,666
Israel,1620,49,1619,492,246,198,48,185,194,113,759,710
Bolivia,1618,59,1505,495,175,189,131,111,267,117,518,977
Bosnia and Herzegovina,1616,51,1638,246,102,118,26,94,94,58,349,327
Ghana,1611,43,1656,722,229,276,217,351,193,178,1162,744
Romania,1610,27,1719,757,315,360,82,336,234,187,1232,964
Burkina Faso,1604,97,1405,436,149,169,118,149,170,117,533,599
Jordan,1590,114,1306,507,180,161,166,177,192,138,611,604
Slovakia,1580,39,1682,335,140,157,38,132,122,81,472,428
Qatar,1578,94,1411,632,290,137,205,263,208,161,901,734
Uzbekistan,1573,61,1589,318,110,118,90,152,106,60,556,365
Iraq,1572,48,1620,706,123,217,366,330,175,201,1122,655
Jamaica,1556,82,1409,663,254,252,157,253,255,155,876,881
Oman,1553,130,1192,533,211,128,194,197,202,134,691,723
South Africa,1543,29,1724,463,237,151,75,205,129,129,631,485
Iceland,1543,80,1420,488,205,233,50,148,242,98,576,817
Albania,1543,75,1493,370,174,171,25,98,194,78,340,567
Montenegro,1540,57,1615,134,69,62,3,44,52,38,159,170
Northern Ireland,1540,40,1653,579,264,281,34,159,276,144,601,884
Haiti,1536,80,1413,524,180,178,166,227,188,109,872,717
North Macedonia,1534,75,1528,271,127,118,26,83,120,68,324,362
New Zealand,1527,63,1506,407,125,179,103,167,167,73,703,613
Bulgaria,1522,39,1637,736,282,379,75,272,284,180,1030,1086
Kosovo,1507,106,1403,76,33,25,18,27,34,15,107,111
Bahrain,1494,109,1347,581,197,148,236,205,220,156,721,739
Gabon,1490,95,1415,421,169,144,108,143,156,122,490,502
United Arab Emirates,1488,99,1389,611,262,132,217,240,219,152,852,769
Cape Verde,1485,123,1286,206,66,74,66,74,85,47,215,235
El Salvador,1484,70,1474,639,197,191,251,215,285,139,820,958
Honduras,1472,61,1499,625,200,205,220,245,216,164,904,806
China,1468,47,1587,702,254,231,217,349,203,150,1343,759
Zambia,1466,59,1560,804,258,338,208,365,231,208,1282,845
Democratic Republic of Congo,1458,61,1561,496,154,211,131,197,162,137,768,610
Northern Cyprus,1457,84,1463,17,5,3,9,9,6,2,30,23
Armenia,1452,103,1416,249,97,116,36,60,138,51,246,467
Guatemala,1450,67,1486,575,194,168,213,208,214,153,816,783
Luxembourg,1443,108,1249,434,236,183,15,44,335,55,279,1159
Equatorial Guinea,1434,154,1152,157,68,54,35,41,82,34,136,243
Palestine,1430,123,1237,251,18,96,137,73,115,63,331,404
Estonia,1430,92,1350,504,216,239,49,127,265,112,502,888
